County,PQI12_UTI_AGE_LT_65,PQI11_BCTRL_PNA_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40,BENES_TOTAL_CNT
VA-Poquoson City,,,,2863
VA-Portsmouth City,,,,19940
VA-Powhatan,,,,7328
VA-Prince Edward,,,,5273
VA-Prince George,,,,7022
VA-Prince William,,,,61729
VA-Pulaski,,,,9625
VA-Radford City,,,,2457
VA-Rappahannock,,,,2226
VA-Richmond,,,,2159
VA-Richmond City,,,,36550
VA-Roanoke,,,,26102
VA-Roanoke City,,,,22594
VA-Rockbridge,,,,6858
VA-Rockingham,,,,20053
VA-Russell,,,,8346
VA-Salem City,,,,6806
VA-Scott,,,,7057
VA-Shenandoah,,,,11884
VA-Smyth,,,,8968
VA-Southampton,,,,4391
VA-Spotsylvania,,,,26426
VA-Stafford,,,,22231
VA-Staunton City,,,,7083
VA-Suffolk City,,,,19881
VA-Surry,,,,1955
VA-Sussex,,,,2713
VA-Tazewell,,,,12387
VA-UNKNOWN,,,,*
VA-Virginia Beach City,,,,85485
VA-Warren,,,,9453
VA-Washington,,,,16434
VA-Waynesboro City,,,,5751
VA-Westmoreland,,,,5848
VA-Williamsburg City,,,,2968
VA-Winchester City,,,,5979
VA-Wise,,,,11034
VA-Wythe,,,,8581
VA-York,,,,14080
VI-St. Croix,,,,10428
VI-St. John,,,,979
VI-St. Thomas,,,,10194
VI-UNKNOWN,,,,*
VT-Addison,,,,10040
VT-Bennington,,,,11093
VT-Caledonia,,,,8525
VT-Chittenden,,,,34978
VT-Essex,,,,2045
VT-Franklin,,,,11673
VT-Grand Isle,,,,2408
VT-Lamoille,,,,6208
VT-Orange,,,,8474
VT-Orleans,,,,8322
VT-Rutland,,,,18583
VT-UNKNOWN,,,,*
VT-Washington,,,,15718
VT-Windham,,,,13406
VT-Windsor,,,,17573
WA-Adams,,,,2855
WA-Asotin,,,,6994
WA-Benton,,,,41265
WA-Chelan,,,,19934
WA-Clallam,,,,29857
WA-Clark,,,,104646
WA-Columbia,,,,1392
WA-Cowlitz,,,,29119
WA-Douglas,,,,9299
WA-Ferry,,,,2585
WA-Franklin,,,,12454
WA-Garfield,,,,760
WA-Grant,,,,18395
WA-Grays Harbor,,,,22726
WA-Island,,,,26854
WA-Jefferson,,,,15211
WA-King,,,,360123
WA-Kitsap,,,,65052
WA-Kittitas,,,,10427
WA-Klickitat,,,,7035
WA-Lewis,,,,23346
WA-Lincoln,,,,3670
WA-Mason,,,,19988
WA-Okanogan,,,,12279
WA-Pacific,,,,9367
WA-Pend Oreille,,,,4667
WA-Pierce,,,,172698
WA-San Juan,,,,6854
WA-Skagit,,,,35660
WA-Skamania,,,,3109
WA-Snohomish,,,,148686
WA-Spokane,,,,120347
WA-Stevens,,,,14744
WA-Thurston,,,,69347
WA-UNKNOWN,,,,*
WA-Wahkiakum,,,,1783
WA-Walla Walla,,,,14954
WA-Whatcom,,,,53566
WA-Whitman,,,,6931
WA-Yakima,,,,46968
WI-Adams,,,,7887
WI-Ashland,,,,4408
WI-Barron,,,,13403
WI-Bayfield,,,,5912
WI-Brown,,,,55036
WI-Buffalo,,,,3679
WI-Burnett,,,,6171
WI-Calumet,,,,10190
WI-Chippewa,,,,16151
WI-Clark,,,,7727
WI-Columbia,,,,14630
WI-Crawford,,,,4749
WI-Dane,,,,102356
WI-Dodge,,,,20794
WI-Door,,,,11171
WI-Douglas,,,,11421
WI-Dunn,,,,10279
WI-Eau Claire,,,,22506
WI-Florence,,,,1691
WI-Fond du Lac,,,,24606
WI-Forest,,,,2923
WI-Grant,,,,12010
WI-Green,,,,9280
WI-Green Lake,,,,5673
WI-Iowa,,,,6118
WI-Iron,,,,2286
WI-Jackson,,,,5112
WI-Jefferson,,,,19344
WI-Juneau,,,,7271
WI-Kenosha,,,,33759
WI-Kewaunee,,,,5304
WI-La Crosse,,,,26340
WI-Lafayette,,,,3966
WI-Langlade,,,,6267
WI-Lincoln,,,,8502
WI-Manitowoc,,,,22178
WI-Marathon,,,,31325
WI-Marinette,,,,13389
WI-Marquette,,,,5096
WI-Menominee,,,,976
WI-Milwaukee,,,,168053
WI-Monroe,,,,10407
WI-Oconto,,,,10970
WI-Oneida,,,,13387
WI-Outagamie,,,,39492
WI-Ozaukee,,,,23821
WI-Pepin,,,,2331
WI-Pierce,,,,8907
WI-Polk,,,,12674
WI-Portage,,,,16205
WI-Price,,,,4980
WI-Racine,,,,45691
WI-Richland,,,,4840
WI-Rock,,,,37395
WI-Rusk,,,,4505
WI-Sauk,,,,16061
WI-Sawyer,,,,6299
WI-Shawano,,,,10987
WI-Sheboygan,,,,28651
WI-St. Croix,,,,18552
WI-Taylor,,,,4914
WI-Trempealeau,,,,7011
WI-UNKNOWN,,,,*
WI-Vernon,,,,7847
WI-Vilas,,,,9521
WI-Walworth,,,,24791
WI-Washburn,,,,6182
WI-Washington,,,,33072
WI-Waukesha,,,,101379
WI-Waupaca,,,,14638
WI-Waushara,,,,7741
WI-Winnebago,,,,37716
WI-Wood,,,,20251
WV-Barbour,,,,4297
WV-Berkeley,,,,25647
WV-Boone,,,,6139
WV-Braxton,,,,3816
WV-Brooke,,,,6382
WV-Cabell,,,,21666
WV-Calhoun,,,,2129
WV-Clay,,,,2636
WV-Doddridge,,,,1774
WV-Fayette,,,,11834
WV-Gilmer,,,,1595
WV-Grant,,,,3407
WV-Greenbrier,,,,10174
WV-Hampshire,,,,6572
WV-Hancock,,,,8318
WV-Hardy,,,,3859
WV-Harrison,,,,16972
WV-Jackson,,,,7842
WV-Jefferson,,,,12696
WV-Kanawha,,,,48867
WV-Lewis,,,,4437
WV-Lincoln,,,,5580
WV-Logan,,,,9149
WV-Marion,,,,14184
WV-Marshall,,,,8185
WV-Mason,,,,7102
WV-McDowell,,,,5455
WV-Mercer,,,,16960
WV-Mineral,,,,7496
WV-Mingo,,,,6791
WV-Monongalia,,,,16355
WV-Monroe,,,,3942
WV-Morgan,,,,5150
WV-Nicholas,,,,7630
WV-Ohio,,,,11179
WV-Pendleton,,,,2331
WV-Pleasants,,,,1961
WV-Pocahontas,,,,2667
WV-Preston,,,,8537
WV-Putnam,,,,13948
WV-Raleigh,,,,20689
WV-Randolph,,,,7504
WV-Ritchie,,,,2838
WV-Roane,,,,4104
WV-Summers,,,,3726
WV-Taylor,,,,4163
WV-Tucker,,,,2269
WV-Tyler,,,,2317
WV-UNKNOWN,,,,*
WV-Upshur,,,,6404
WV-Wayne,,,,10978
WV-Webster,,,,2641
WV-Wetzel,,,,4254
WV-Wirt,,,,1681
WV-Wood,,,,23409
WV-Wyoming,,,,6088
WY-Albany,,,,6169
WY-Big Horn,,,,3116
WY-Campbell,,,,7586
WY-Carbon,,,,3213
WY-Converse,,,,3126
WY-Crook,,,,1992
WY-Fremont,,,,9657
WY-Goshen,,,,3560
WY-Hot Springs,,,,1592
WY-Johnson,,,,2665
WY-Laramie,,,,21839
WY-Lincoln,,,,4687
WY-Natrona,,,,16932
WY-Niobrara,,,,680
WY-Park,,,,8939
WY-Platte,,,,2697
WY-Sheridan,,,,8829
WY-Sublette,,,,2061
WY-Sweetwater,,,,7606
WY-Teton,,,,4321
WY-UNKNOWN,,,,*
WY-Uinta,,,,4347
WY-Washakie,,,,2209
WY-Weston,,,,1915
