County,PQI12_UTI_AGE_LT_65,PQI11_BCTRL_PNA_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40,BENES_TOTAL_CNT
IL-McDonough,,,,6167
IL-McHenry,,,,62591
IL-McLean,,,,30284
IL-Menard,,,,3049
IL-Mercer,,,,4072
IL-Monroe,,,,8309
IL-Montgomery,,,,7231
IL-Morgan,,,,8273
IL-Moultrie,,,,3282
IL-Ogle,,,,12009
IL-Peoria,,,,38814
IL-Perry,,,,4917
IL-Piatt,,,,4146
IL-Pike,,,,3902
IL-Pope,,,,1217
IL-Pulaski,,,,1469
IL-Putnam,,,,1620
IL-Randolph,,,,7488
IL-Richland,,,,3922
IL-Rock Island,,,,33311
IL-Saline,,,,6396
IL-Sangamon,,,,45507
IL-Schuyler,,,,1783
IL-Scott,,,,1208
IL-Shelby,,,,5673
IL-St. Clair,,,,54253
IL-Stark,,,,1408
IL-Stephenson,,,,12452
IL-Tazewell,,,,31293
IL-UNKNOWN,,,,*
IL-Union,,,,4706
IL-Vermilion,,,,18137
IL-Wabash,,,,2987
IL-Warren,,,,4075
IL-Washington,,,,3513
IL-Wayne,,,,4026
IL-White,,,,3786
IL-Whiteside,,,,14855
IL-Will,,,,120864
IL-Williamson,,,,16522
IL-Winnebago,,,,63776
IL-Woodford,,,,8767
IN-Adams,,,,6823
IN-Allen,,,,75386
IN-Bartholomew,,,,17313
IN-Benton,,,,2066
IN-Blackford,,,,3297
IN-Boone,,,,13616
IN-Brown,,,,4606
IN-Carroll,,,,4767
IN-Cass,,,,8603
IN-Clark,,,,26700
IN-Clay,,,,6690
IN-Clinton,,,,6927
IN-Crawford,,,,2912
IN-Daviess,,,,6062
IN-DeKalb,,,,9816
IN-Dearborn,,,,12121
IN-Decatur,,,,6197
IN-Delaware,,,,25347
IN-Dubois,,,,10223
IN-Elkhart,,,,37923
IN-Fayette,,,,6649
IN-Floyd,,,,17996
IN-Fountain,,,,4351
IN-Franklin,,,,5520
IN-Fulton,,,,5120
IN-Gibson,,,,7871
IN-Grant,,,,16752
IN-Greene,,,,8083
IN-Hamilton,,,,58725
IN-Hancock,,,,18004
IN-Harrison,,,,9808
IN-Hendricks,,,,32623
IN-Henry,,,,12132
IN-Howard,,,,20998
IN-Huntington,,,,9279
IN-Jackson,,,,9900
IN-Jasper,,,,7861
IN-Jay,,,,4819
IN-Jefferson,,,,8054
IN-Jennings,,,,6530
IN-Johnson,,,,31987
IN-Knox,,,,8617
IN-Kosciusko,,,,17634
IN-LaGrange,,,,6293
IN-LaPorte,,,,25948
IN-Lake,,,,104405
IN-Lawrence,,,,11619
IN-Madison,,,,31716
IN-Marion,,,,159784
IN-Marshall,,,,10440
IN-Martin,,,,2635
IN-Miami,,,,8008
IN-Monroe,,,,23920
IN-Montgomery,,,,9087
IN-Morgan,,,,17533
IN-Newton,,,,3485
IN-Noble,,,,10247
IN-Ohio,,,,1661
IN-Orange,,,,5122
IN-Owen,,,,5562
IN-Parke,,,,3989
IN-Perry,,,,4745
IN-Pike,,,,3088
IN-Porter,,,,38533
IN-Posey,,,,6284
IN-Pulaski,,,,3385
IN-Putnam,,,,8293
IN-Randolph,,,,6309
IN-Ripley,,,,7071
IN-Rush,,,,4044
IN-Scott,,,,5928
IN-Shelby,,,,10506
IN-Spencer,,,,5105
IN-St. Joseph,,,,54922
IN-Starke,,,,6291
IN-Steuben,,,,9111
IN-Sullivan,,,,4839
IN-Switzerland,,,,2286
IN-Tippecanoe,,,,28405
IN-Tipton,,,,3929
IN-UNKNOWN,,,,*
IN-Union,,,,1831
IN-Vanderburgh,,,,40891
IN-Vermillion,,,,4091
IN-Vigo,,,,23842
IN-Wabash,,,,8502
IN-Warren,,,,2079
IN-Warrick,,,,14932
IN-Washington,,,,6763
IN-Wayne,,,,16893
IN-Wells,,,,6733
IN-White,,,,6511
IN-Whitley,,,,8292
KS-Allen,,,,3314
KS-Anderson,,,,2011
KS-Atchison,,,,3718
KS-Barber,,,,1280
KS-Barton,,,,6164
KS-Bourbon,,,,3489
KS-Brown,,,,2601
KS-Butler,,,,13939
KS-Chase,,,,727
KS-Chautauqua,,,,1003
KS-Cherokee,,,,4908
KS-Cheyenne,,,,814
KS-Clark,,,,494
KS-Clay,,,,2254
KS-Cloud,,,,2345
KS-Coffey,,,,2240
KS-Comanche,,,,520
KS-Cowley,,,,7911
KS-Crawford,,,,7968
KS-Decatur,,,,883
KS-Dickinson,,,,4811
KS-Doniphan,,,,1848
KS-Douglas,,,,20752
KS-Edwards,,,,791
KS-Elk,,,,807
KS-Ellis,,,,6039
KS-Ellsworth,,,,1594
KS-Finney,,,,5326
KS-Ford,,,,4565
KS-Franklin,,,,6055
KS-Geary,,,,4564
KS-Gove,,,,723
KS-Graham,,,,760
KS-Grant,,,,1243
KS-Gray,,,,1188
KS-Greeley,,,,309
KS-Greenwood,,,,1866
KS-Hamilton,,,,432
KS-Harper,,,,1500
KS-Harvey,,,,8538
KS-Haskell,,,,668
KS-Hodgeman,,,,442
KS-Jackson,,,,3131
KS-Jefferson,,,,4616
KS-Jewell,,,,954
KS-Johnson,,,,115200
KS-Kearny,,,,676
KS-Kingman,,,,2047
KS-Kiowa,,,,638
KS-Labette,,,,5164
KS-Lane,,,,453
KS-Leavenworth,,,,15967
KS-Lincoln,,,,906
KS-Linn,,,,2656
KS-Logan,,,,705
KS-Lyon,,,,6715
KS-Marion,,,,3266
KS-Marshall,,,,2782
KS-McPherson,,,,7386
KS-Meade,,,,852
KS-Miami,,,,7664
KS-Mitchell,,,,1707
KS-Montgomery,,,,8059
