county_fips,State,County,food_access_score,PovertyRate,MedianFamilyIncome,lapop1share,lalowi1share,vehicle_barrier_rate,Pop2010,TractHUNV,state_abbrev,county_label_medicare,BENES_TOTAL_CNT,PQI03_DBTS_AGE_LT_65,PQI05_COPD_ASTHMA_AGE_40_64,PQI07_HYPRTNSN_AGE_LT_65,PQI15_ASTHMA_AGE_LT_40
27049,Minnesota,Goodhue County,0.3292253296645412,9.280000000000001,83093.8,60.69,10.737,0.02240166827279761,4618.3,104.2,MN,Goodhue,12104,,,,
27051,Minnesota,Grant County,0.4459276850686401,10.4,65387.0,80.97,25.24,0.0179690007684152,3009.0,54.0,MN,Grant,1699,,,,
27053,Minnesota,Hennepin County,0.24558592103954077,8.189024390243903,107125.21951219512,42.853353658536584,6.781707317073171,0.027601738455391087,4338.176829268293,107.07317073170732,MN,Hennepin,223960,,,,
27055,Minnesota,Houston County,0.34341436441987805,8.139999999999999,72669.8,62.14200000000001,13.744,0.0191848097238949,3805.4,72.0,MN,Houston,5172,,,,
27057,Minnesota,Hubbard County,0.45128663092551957,10.257142857142856,65061.28571428572,84.36857142857143,22.845714285714283,0.01612175871217803,2918.285714285714,52.0,MN,Hubbard,6722,,,,
27059,Minnesota,Isanti County,0.4195047827684705,7.2125,80700.75,83.4475,16.38125,0.018555396990000774,4727.0,80.25,MN,Isanti,9025,,,,
27061,Minnesota,Itasca County,0.44118744878012345,12.736363636363636,66090.63636363637,79.36454545454545,23.689999999999998,0.020775939541918528,4096.181818181818,94.72727272727273,MN,Itasca,13897,,,,
27063,Minnesota,Jackson County,0.3373376437267166,7.65,73809.75,60.462500000000006,14.5425,0.013899845303338225,2566.5,36.0,MN,Jackson,2574,,,,
27065,Minnesota,Kanabec County,0.4371507612660502,10.9,62973.25,79.4125,23.2325,0.016713725875021,4059.75,67.25,MN,Kanabec,4343,,,,
27067,Minnesota,Kandiyohi County,0.41484877031984374,10.69090909090909,74622.90909090909,76.4890909090909,20.405454545454546,0.018490925024144008,3583.6363636363635,69.63636363636364,MN,Kandiyohi,10773,,,,
27069,Minnesota,Kittson County,0.3483004261623764,10.45,73493.0,60.370000000000005,16.295,0.0210144117932078,2276.0,48.5,MN,Kittson,1238,,,,
27071,Minnesota,Koochiching County,0.3902800829050004,16.025,64163.75,65.5025,19.71,0.023246668402367426,3327.75,89.75,MN,Koochiching,3968,,,,
27073,Minnesota,Lac qui Parle County,0.34126904575564904,8.766666666666667,65719.66666666667,59.620000000000005,14.756666666666668,0.019398655317199233,2419.6666666666665,47.333333333333336,MN,Lac qui Parle,1979,,,,
27075,Minnesota,Lake County,0.2958385769153433,8.6,68887.66666666667,49.92666666666667,10.293333333333333,0.029389882320453167,3622.0,113.0,MN,Lake,3445,,,,
27077,Minnesota,Lake of the Woods County,0.3857941631696651,10.45,65363.0,69.44,17.835,0.0112160566706021,2022.5,19.0,MN,Lake of the Woods,1265,,,,
27079,Minnesota,Le Sueur County,0.2993847804924497,8.916666666666666,81223.0,53.00666666666667,9.928333333333333,0.016288377243650235,4617.166666666667,70.83333333333333,MN,Le Sueur,6401,,,,
27081,Minnesota,Lincoln County,0.3822616470796204,10.399999999999999,65844.0,67.415,19.130000000000003,0.0148867326981651,2948.0,44.5,MN,Lincoln,1613,,,,
27083,Minnesota,Lyon County,0.36602176143668175,13.328571428571427,72242.85714285714,62.23428571428571,18.134285714285713,0.02245802040824993,3693.8571428571427,84.0,MN,Lyon,5425,,,,
27085,Minnesota,McLeod County,0.40241735997191064,8.514285714285714,76861.0,76.43714285714285,17.764285714285712,0.016910234169814485,5235.857142857143,97.42857142857143,MN,McLeod,8685,,,,
27087,Minnesota,Mahnomen County,0.4768718372357815,20.9,54167.0,75.26,34.42,0.03058931872199795,2706.5,84.0,MN,Mahnomen,1252,,,,
